Date,Amount,day_of_week,is_weekend,lag_1,lag_7,rolling_3_mean
2022-04-07,975405.2537821196,3,0,940816.8442961973,107521.00974296115,977207.826185221
2022-04-08,1078823.5006487053,4,0,975405.2537821196,935524.5169155338,998348.5329090074
2022-04-09,1031096.650734385,5,1,1078823.5006487053,977310.2871725727,1028441.8017217367
2022-04-10,1127768.4676866503,6,1,1031096.650734385,1075972.1371725725,1079229.5396899136
2022-04-11,1015713.7470868931,0,0,1127768.4676866503,941079.340734385,1058192.9551693096
2022-04-12,941672.3342105177,1,0,1015713.7470868931,1015401.3804773461,1028384.8496613536
2022-04-13,1045117.4970012134,2,0,941672.3342105177,940816.8442961973,1000834.5260995413
2022-04-14,1186127.7701346276,3,0,1045117.4970012134,975405.2537821196,1057639.2004487861
2022-04-15,1123374.8456303396,4,0,1186127.7701346276,1078823.5006487053,1118206.7042553935
2022-04-16,1082042.4401346277,5,1,1123374.8456303396,1031096.650734385,1130515.0186331982
2022-04-17,992729.7643818769,6,1,1082042.4401346277,1127768.4676866503,1066049.0167156148
2022-04-18,954152.2303059868,0,0,992729.7643818769,1015713.7470868931,1009641.4782741638
2022-04-19,1028989.2769155338,1,0,954152.2303059868,941672.3342105177,991957.0905344659
2022-04-20,1154462.0205630257,2,0,1028989.2769155338,1045117.4970012134,1045867.8425948488
2022-04-21,1043516.2168298542,3,0,1154462.0205630257,1186127.7701346276,1075655.8381028045
2022-04-22,1041213.8038677992,4,0,1043516.2168298542,1123374.8456303396,1079730.6804202264
2022-04-23,1148659.9242105177,5,1,1041213.8038677992,1082042.4401346277,1077796.6483027237
2022-04-24,1154475.5868298542,6,1,1148659.9242105177,992729.7643818769,1114783.1049693904
2022-04-25,1046081.6503059869,0,0,1154475.5868298542,954152.2303059868,1116405.7204487862
2022-04-26,964581.3942961972,1,0,1046081.6503059869,1028989.2769155338,1055046.210477346
2022-04-27,905805.3109057442,2,0,964581.3942961972,1154462.0205630257,972156.1185026428
2022-04-28,887005.0878580096,3,0,905805.3109057442,1043516.2168298542,919130.5976866503
2022-04-29,911343.8601346277,4,0,887005.0878580096,1041213.8038677992,901384.7529661272
2022-04-30,1050057.5197919093,5,1,911343.8601346277,1148659.9242105177,949468.8225948488
2022-05-01,1147409.14369644,6,1,1050057.5197919093,1154475.5868298542,1036270.1745409922
2022-05-02,1267667.3358016987,0,0,1147409.14369644,1046081.6503059869,1155044.6664300158
2022-05-03,1297038.6119828476,1,0,1267667.3358016987,964581.3942961972,1237371.6971603287
2022-05-04,1304498.0191064721,2,0,1297038.6119828476,905805.3109057442,1289734.6556303396
2022-05-05,954372.9140391584,3,0,1304498.0191064721,887005.0878580096,1185303.1817094928
2022-05-06,949631.2482007281,4,0,954372.9140391584,911343.8601346277,1069500.727115453
2022-05-07,960559.9044675565,5,1,949631.2482007281,1050057.5197919093,954854.688902481
2022-05-08,961193.230734385,6,1,960559.9044675565,1147409.14369644,957128.1278008899
2022-05-09,850508.8615911811,0,0,961193.230734385,1267667.3358016987,924087.3322643744
2022-05-10,774205.5977723299,1,0,850508.8615911811,1297038.6119828476,861969.230032632
2022-05-11,783989.7979436892,2,0,774205.5977723299,1304498.0191064721,802901.4191024001
2022-05-12,736251.7681150484,3,0,783989.7979436892,954372.9140391584,764815.7212770224
2022-05-13,770335.57184822,4,0,736251.7681150484,949631.2482007281,763525.7126356525
2022-05-14,810977.7381150484,5,1,770335.57184822,960559.9044675565,772521.6926927724
2022-05-15,951720.1208200646,6,1,810977.7381150484,961193.230734385,844344.4769277776
2022-05-16,804655.6015055015,0,0,951720.1208200646,850508.8615911811,855784.4868135381
2022-05-17,800590.1617625403,1,0,804655.6015055015,774205.5977723299,852321.9613627022
2022-05-18,848779.3710771034,2,0,800590.1617625403,783989.7979436892,818008.3781150483
2022-05-19,818237.7948959545,3,0,848779.3710771034,736251.7681150484,822535.7759118661
2022-05-20,743363.4082864077,4,0,818237.7948959545,770335.57184822,803460.1914198218
2022-05-21,732813.5784577669,5,1,743363.4082864077,810977.7381150484,764804.9272133764
2022-05-22,824522.6812484626,6,1,732813.5784577669,951720.1208200646,766899.8893308792
2022-05-23,800033.5447245954,0,0,824522.6812484626,804655.6015055015,785789.9348102749
2022-05-24,813289.9742961973,1,0,800033.5447245954,800590.1617625403,812615.4000897518
2022-05-25,864878.4713341423,2,0,813289.9742961973,848779.3710771034,826067.3301183116
2022-05-26,813668.3046389157,3,0,864878.4713341423,818237.7948959545,830612.2500897517
2022-05-27,868463.3009057442,4,0,813668.3046389157,743363.4082864077,849003.3589596007
2022-05-28,902872.4643818769,5,1,868463.3009057442,732813.5784577669,861668.0233088456
2022-05-29,864342.3412484627,6,1,902872.4643818769,824522.6812484626,878559.3688453613
2022-05-30,866755.3411627831,0,0,864342.3412484627,800033.5447245954,877990.0489310408
2022-05-31,955603.5276866504,1,0,866755.3411627831,813289.9742961973,895567.070032632
2022-06-01,997044.6739534788,2,0,955603.5276866504,864878.4713341423,939801.180934304
2022-06-02,949120.8309914238,3,0,997044.6739534788,813668.3046389157,967256.3442105176
2022-06-03,789051.4810771034,4,0,949120.8309914238,868463.3009057442,911738.9953406686
2022-06-04,935841.8046389157,5,1,789051.4810771034,902872.4643818769,891338.0389024811
2022-06-05,1046816.0541248381,6,1,935841.8046389157,864342.3412484627,923903.1132802857
2022-06-06,1011702.0075152911,0,0,1046816.0541248381,866755.3411627831,998119.9554263484
2022-06-07,1021334.5642105177,1,0,1011702.0075152911,955603.5276866504,1026617.5419502156
2022-06-08,1034869.4336107604,2,0,1021334.5642105177,997044.6739534788,1022635.3351121898
2022-06-09,1024688.9937821196,3,0,1034869.4336107604,949120.8309914238,1026964.330534466
2022-06-10,849385.65777233,4,0,1024688.9937821196,789051.4810771034,969648.0283884034
2022-06-11,907250.7514198219,5,1,849385.65777233,935841.8046389157,927108.4676580905
2022-06-12,1025292.7369155338,6,1,907250.7514198219,1046816.0541248381,927309.7153692286
2022-06-13,931506.0442961972,0,0,1025292.7369155338,1011702.0075152911,954683.177543851
2022-06-14,953714.1676009707,1,0,931506.0442961972,1021334.5642105177,970170.9829375673
2022-06-15,850595.2237821196,2,0,953714.1676009707,1034869.4336107604,911938.4785597626
2022-06-16,819673.6182007281,3,0,850595.2237821196,1024688.9937821196,874661.0031946063
2022-06-17,797289.2444675565,4,0,819673.6182007281,849385.65777233,822519.3621501349
2022-06-18,789653.3778580095,5,1,797289.2444675565,907250.7514198219,802205.4135087646
2022-06-19,776537.8779436892,6,1,789653.3778580095,1025292.7369155338,787826.833423085
2022-06-20,803462.1879436892,0,0,776537.8779436892,931506.0442961972,789884.4812484626
2022-06-21,863490.610734385,1,0,803462.1879436892,953714.1676009707,814496.8922072543
2022-06-22,839232.6273439319,2,0,863490.610734385,850595.2237821196,835395.1420073354
2022-06-23,707263.9176866503,3,0,839232.6273439319,819673.6182007281,803329.0519216558
2022-06-24,671209.408200728,4,0,707263.9176866503,797289.2444675565,739235.3177437702
2022-06-25,694446.1248959546,5,1,671209.408200728,789653.3778580095,690973.150261111
2022-06-26,808632.9784577669,6,1,694446.1248959546,776537.8779436892,724762.8371848166
2022-06-27,750444.7750673138,0,0,808632.9784577669,803462.1879436892,751174.6261403452
2022-06-28,821377.1011627831,1,0,750444.7750673138,863490.610734385,793484.9515626213
2022-06-29,430339.3858384304,2,0,821377.1011627831,839232.6273439319,667387.0873561758
